Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
32,11/22/1999,15,4,0,40,10,0,0,"['Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Peretz Yair', 'Shtern Yuri']","{'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 29, 'Peretz Yair': 11, 'Shtern Yuri': 0}",15_ptv_490858.json,
33,11/22/1999,15,16,2,2346,146,2,1,"['Tarif Salah', 'Orlev Zevulun', 'Gagula Itzhak', 'Galon Zehava', 'Gafni Moshe', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Cohen Amnon', 'Katz Israel', 'Levy Maxim', 'Landver Sofa', 'Pines-Paz Ophir', 'Peretz Yair', 'Peretz Amir', 'Rivlin Reuven', 'Shtern Yuri', 'Sheetrit Meir', 'Simhon Shalom']","{'Tarif Salah': 494, 'Orlev Zevulun': 7, 'Gagula Itzhak': 0, 'Galon Zehava': 0, 'Gafni Moshe': 0, 'Ze`evi Rechavam': 165, 'Sandberg Eliezer': 0, 'Cohen Amnon': 0, 'Katz Israel': 257, 'Levy Maxim': 3, 'Landver Sofa': 2, 'Pines-Paz Ophir': 0, 'Peretz Yair': 38, 'Peretz Amir': 561, 'Rivlin Reuven': 466, 'Shtern Yuri': 223, 'Sheetrit Meir': 132, 'Simhon Shalom': 0}",15_ptv_490859.json,
34,11/23/1999,15,14,1,4250,303,111,111,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Orlev Zevulun', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Ze`evi Rechavam', 'Cohen Amnon', 'Levy Maxim', 'Pines-Paz Ophir', 'Rivlin Reuven', 'Tibi Ahmad', 'Cohen Ra`anan', 'Mahameed Hashem', 'Kara Ayoob']","{'Tarif Salah': 1198, 'Edelstein Yuli-Yoel': 32, 'Orlev Zevulun': 125, 'Barakeh Mohammad': 463, 'Galon Zehava': 111, 'Gafni Moshe': 30, 'Ze`evi Rechavam': 432, 'Cohen Amnon': 0, 'Levy Maxim': 63, 'Pines-Paz Ophir': 0, 'Rivlin Reuven': 640, 'Tibi Ahmad': 1138, 'Cohen Ra`anan': 0, 'Mahameed Hashem': 129, 'Kara Ayoob': 0}",15_ptv_490860.json,
35,11/24/1999,15,15,2,3962,264,190,95,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Eitan Michael', 'Gagula Itzhak', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Katz Israel', 'Levy Maxim', 'Landver Sofa', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Shtern Yuri', 'Simhon Shalom']","{'Tarif Salah': 1120, 'Edelstein Yuli-Yoel': 218, 'Eitan Michael': 271, 'Gagula Itzhak': 0, 'Galon Zehava': 0, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 958, 'Sandberg Eliezer': 548, 'Katz Israel': 279, 'Levy Maxim': 19, 'Landver Sofa': 190, 'Pines-Paz Ophir': 0, 'Peretz Yair': 54, 'Rivlin Reuven': 475, 'Shtern Yuri': 20, 'Simhon Shalom': 0}",15_ptv_490861.json,
36,11/29/1999,15,4,1,3660,915,56,56,"['Tarif Salah', 'Gagula Itzhak', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Peretz Yair']","{'Tarif Salah': 2597, 'Gagula Itzhak': 416, 'Galon Zehava': 56, 'Dehamshe Abdulmalik': 574, 'Peretz Yair': 73}",15_ptv_490862.json,
37,11/30/1999,15,11,2,4622,420,686,343,"['Tarif Salah', 'Ben-Menachem Eli', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Chazan Naomi', 'Landver Sofa', 'Milo Roni', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Shtern Yuri']","{'Tarif Salah': 2446, 'Ben-Menachem Eli': 0, 'Gafni Moshe': 498, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 258, 'Sandberg Eliezer': 13, 'Chazan Naomi': 539, 'Landver Sofa': 147, 'Milo Roni': 287, 'Pines-Paz Ophir': 0, 'Peretz Yair': 36, 'Rivlin Reuven': 606, 'Shtern Yuri': 478}",15_ptv_490863.json,
38,12/1/1999,15,7,2,1604,229,4,2,"['Tarif Salah', 'Eitan Michael', 'Galon Zehava', 'Ze`evi Rechavam', 'Chazan Naomi', 'Cohen Amnon', 'Katz Israel', 'Peretz Yair', 'Sheetrit Meir']","{'Tarif Salah': 593, 'Eitan Michael': 279, 'Galon Zehava': 4, 'Ze`evi Rechavam': 603, 'Chazan Naomi': 0, 'Cohen Amnon': 0, 'Katz Israel': 121, 'Peretz Yair': 8, 'Sheetrit Meir': 0}",15_ptv_490864.json,
39,12/6/1999,15,10,1,2245,224,0,0,"['Tarif Salah', 'Eitan Michael', 'Gagula Itzhak', 'Gafni Moshe', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Cohen Amnon', 'Katz Israel', 'Landver Sofa', 'Nahari Meshulam', 'Sheetrit Meir']","{'Tarif Salah': 1408, 'Eitan Michael': 0, 'Gagula Itzhak': 0, 'Gafni Moshe': 303, 'Ze`evi Rechavam': 0, 'Sandberg Eliezer': 59, 'Cohen Amnon': 0, 'Katz Israel': 30, 'Landver Sofa': 0, 'Nahari Meshulam': 0, 'Sheetrit Meir': 445}",15_ptv_490865.json,
4,12/07/1999,15,14,3,3666,261,343,114,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Orlev Zevulun', 'Ben-Menachem Eli', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Tibi Ahmad', 'Cohen Amnon', 'Landau Uzi', 'Landver Sofa', 'Nudelman Michael', 'Pines-Paz Ophir', 'Peretz Yair', 'Sheetrit Meir', 'Shtern Yuri']","{'Tarif Salah': 1734, 'Edelstein Yuli-Yoel': 0, 'Orlev Zevulun': 0, 'Ben-Menachem Eli': 0, 'Galon Zehava': 86, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 537, 'Chazan Naomi': 257, 'Tibi Ahmad': 44, 'Cohen Amnon': 0, 'Landau Uzi': 84, 'Landver Sofa': 0, 'Nudelman Michael': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 12, 'Sheetrit Meir': 1100, 'Shtern Yuri': 155}",15_ptv_490866.json,
41,12/13/1999,15,14,2,2346,167,569,284,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Orlev Zevulun', 'Ben-Menachem Eli', 'Barakeh Mohammad', 'Gagula Itzhak', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Chazan Naomi', 'Katz Israel', 'Nudelman Michael', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven']","{'Tarif Salah': 1022, 'Edelstein Yuli-Yoel': 0, 'Orlev Zevulun': 0, 'Ben-Menachem Eli': 0, 'Barakeh Mohammad': 92, 'Gagula Itzhak': 0, 'Galon Zehava': 83, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 598, 'Sandberg Eliezer': 134, 'Chazan Naomi': 486, 'Katz Israel': 125, 'Nudelman Michael': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 42, 'Rivlin Reuven': 333}",15_ptv_490867.json,
42,12/14/1999,15,17,2,4296,252,376,188,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Chazan Naomi', 'Cohen Amnon', 'Katz Israel', 'Levy Maxim', 'Landver Sofa', 'Pines-Paz Ophir', 'Peretz Yair', 'Sheetrit Meir', 'Shtern Yuri', 'Goldschmidt Elie', 'Yechezkel Avraham', 'Hugi Ofer', 'Litzman Yakov']","{'Tarif Salah': 1835, 'Edelstein Yuli-Yoel': 22, 'Gafni Moshe': 511, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 476, 'Sandberg Eliezer': 160, 'Chazan Naomi': 376, 'Cohen Amnon': 0, 'Katz Israel': 0, 'Levy Maxim': 123, 'Landver Sofa': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 18, 'Sheetrit Meir': 335, 'Shtern Yuri': 274, 'Goldschmidt Elie': 380, 'Yechezkel Avraham': 0, 'Hugi Ofer': 126, 'Litzman Yakov': 36}",15_ptv_490868.json,
43,12/15/1999,15,12,1,2288,190,40,40,"['Tarif Salah', 'Barakeh Mohammad', 'Gagula Itzhak', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Levy Maxim', 'Shaban Yitzhak', 'Pines-Paz Ophir', 'Peretz Yair', 'Sheetrit Meir']","{'Tarif Salah': 838, 'Barakeh Mohammad': 0, 'Gagula Itzhak': 8, 'Galon Zehava': 40, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 328, 'Sandberg Eliezer': 60, 'Levy Maxim': 0, 'Shaban Yitzhak': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 8, 'Sheetrit Meir': 1046}",15_ptv_490869.json,
44,12/20/1999,15,12,2,3162,263,16,8,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Ben-Menachem Eli', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Levy Maxim', 'Pines-Paz Ophir', 'Peretz Yair', 'Peretz Amir', 'Sheetrit Meir']","{'Tarif Salah': 1143, 'Edelstein Yuli-Yoel': 0, 'Ben-Menachem Eli': 0, 'Barakeh Mohammad': 0, 'Galon Zehava': 16, 'Gafni Moshe': 18, 'Dehamshe Abdulmalik': 52, 'Ze`evi Rechavam': 1190, 'Chazan Naomi': 0, 'Levy Maxim': 21, 'Pines-Paz Ophir': 0, 'Peretz Yair': 0, 'Peretz Amir': 625, 'Sheetrit Meir': 113}",15_ptv_490870.json,
45,12/21/1999,15,19,4,4119,216,162,40,"['Tarif Salah', 'Orlev Zevulun', 'Eitan Michael', 'Ben-Menachem Eli', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Chazan Naomi', 'Levy Maxim', 'Pines-Paz Ophir', 'Rivlin Reuven', 'Sheetrit Meir', 'Bishara Azmi', 'Hendel Zvi', 'Tibi Ahmad', 'Livni Tzipi', 'Mahameed Hashem', 'Naot Yehudith', 'Porush Meir', 'Simhon Shalom']","{'Tarif Salah': 750, 'Orlev Zevulun': 323, 'Eitan Michael': 0, 'Ben-Menachem Eli': 0, 'Barakeh Mohammad': 163, 'Galon Zehava': 0, 'Gafni Moshe': 86, 'Dehamshe Abdulmalik': 108, 'Ze`evi Rechavam': 532, 'Sandberg Eliezer': 107, 'Chazan Naomi': 86, 'Levy Maxim': 77, 'Pines-Paz Ophir': 0, 'Rivlin Reuven': 0, 'Sheetrit Meir': 367, 'Bishara Azmi': 1019, 'Hendel Zvi': 57, 'Tibi Ahmad': 454, 'Livni Tzipi': 61, 'Mahameed Hashem': 0, 'Naot Yehudith': 15, 'Porush Meir': 76, 'Simhon Shalom': 0}",15_ptv_490871.json,
46,12/27/1999,15,1,0,48,48,0,0,"['Tarif Salah']","{'Tarif Salah': 48}",15_ptv_490872.json,
47,12/28/1999,15,9,2,2339,259,104,52,"['Tarif Salah', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Levy Maxim', 'Pines-Paz Ophir', 'Peretz Yair', 'Sheetrit Meir', 'Shtern Yuri']","{'Tarif Salah': 864, 'Galon Zehava': 12, 'Gafni Moshe': 36, 'Dehamshe Abdulmalik': 276, 'Ze`evi Rechavam': 436, 'Chazan Naomi': 92, 'Levy Maxim': 81, 'Pines-Paz Ophir': 0, 'Peretz Yair': 65, 'Sheetrit Meir': 581, 'Shtern Yuri': 0}",15_ptv_490873.json,
48,1/3/2000,15,5,0,98,19,0,0,"['Pines-Paz Ophir', 'Barakeh Mohammad', 'Ze`evi Rechavam', 'Peretz Yair', 'Shtern Yuri']","{'Pines-Paz Ophir': 69, 'Barakeh Mohammad': 0, 'Ze`evi Rechavam': 18, 'Peretz Yair': 11, 'Shtern Yuri': 0}",15_ptv_490874.json,
49,01/04/2000,15,18,1,4081,226,95,95,"['Tarif Salah', 'Pines-Paz Ophir', 'Levy Maxim', 'Ben-Menachem Eli', 'Barakeh Mohammad', 'Peretz Amir', 'Rivlin Reuven', 'Katz Israel', 'Cohen Amnon', 'Nahari Meshulam', 'Gagula Itzhak', 'Peretz Yair', 'Chazan Naomi', 'Edelstein Yuli-Yoel', 'Milo Roni', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Shtern Yuri']","{'Tarif Salah': 1279, 'Pines-Paz Ophir': 0, 'Levy Maxim': 292, 'Ben-Menachem Eli': 19, 'Barakeh Mohammad': 0, 'Peretz Amir': 765, 'Rivlin Reuven': 365, 'Katz Israel': 0, 'Cohen Amnon': 0, 'Nahari Meshulam': 0, 'Gagula Itzhak': 16, 'Peretz Yair': 0, 'Chazan Naomi': 95, 'Edelstein Yuli-Yoel': 0, 'Milo Roni': 232, 'Gafni Moshe': 751, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 362, 'Shtern Yuri': 0}",15_ptv_490875.json,
5,01/11/2000,15,14,1,1870,133,0,0,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Ben-Menachem Eli', 'Barakeh Mohammad', 'Gagula Itzhak', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Milo Roni', 'Peretz Yair', 'Rivlin Reuven', 'Sheetrit Meir', 'Shtern Yuri']","{'Tarif Salah': 102, 'Edelstein Yuli-Yoel': 0, 'Ben-Menachem Eli': 0, 'Barakeh Mohammad': 0, 'Gagula Itzhak': 0, 'Galon Zehava': 0, 'Gafni Moshe': 13, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 15, 'Sandberg Eliezer': 31, 'Milo Roni': 0, 'Peretz Yair': 12, 'Rivlin Reuven': 1426, 'Sheetrit Meir': 184, 'Shtern Yuri': 87}",15_ptv_490876.json,
51,01/11/2000,15,20,4,3160,158,21,5,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Eitan Michael', 'Ben-Menachem Eli', 'Barakeh Mohammad', 'Gagula Itzhak', 'Gilon Ilan', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Vilan Avshalom', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Katz Israel', 'Livni Tzipi', 'Livnat Limor', 'Landau Uzi', 'Landver Sofa', 'Shaban Yitzhak', 'Peretz Yair', 'Rivlin Reuven', 'Sheetrit Meir', 'Shtern Yuri', 'Shiry Wizman', 'Simhon Shalom']","{'Tarif Salah': 906, 'Edelstein Yuli-Yoel': 0, 'Eitan Michael': 994, 'Ben-Menachem Eli': 0, 'Barakeh Mohammad': 0, 'Gagula Itzhak': 0, 'Gilon Ilan': 0, 'Galon Zehava': 0, 'Dehamshe Abdulmalik': 0, 'Vilan Avshalom': 122, 'Ze`evi Rechavam': 8, 'Sandberg Eliezer': 12, 'Katz Israel': 0, 'Livni Tzipi': 0, 'Livnat Limor': 21, 'Landau Uzi': 630, 'Landver Sofa': 0, 'Shaban Yitzhak': 0, 'Peretz Yair': 40, 'Rivlin Reuven': 16, 'Sheetrit Meir': 231, 'Shtern Yuri': 12, 'Shiry Wizman': 26, 'Simhon Shalom': 163}",15_ptv_490877.json,
52,1/12/2000,15,10,1,1047,104,0,0,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Ben-Menachem Eli', 'Barakeh Mohammad', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Cohen Amnon', 'Katz Israel', 'Nahari Meshulam', 'Peretz Yair', 'Sheetrit Meir']","{'Tarif Salah': 901, 'Edelstein Yuli-Yoel': 0, 'Ben-Menachem Eli': 0, 'Barakeh Mohammad': 0, 'Galon Zehava': 0, 'Dehamshe Abdulmalik': 10, 'Cohen Amnon': 0, 'Katz Israel': 0, 'Nahari Meshulam': 5, 'Peretz Yair': 47, 'Sheetrit Meir': 84}",15_ptv_490878.json,
53,1/17/2000,15,5,0,462,92,0,0,"['Pines-Paz Ophir', 'Edelstein Yuli-Yoel', 'Orlev Zevulun', 'Rivlin Reuven', 'Sheetrit Meir']","{'Pines-Paz Ophir': 341, 'Edelstein Yuli-Yoel': 0, 'Orlev Zevulun': 0, 'Rivlin Reuven': 106, 'Sheetrit Meir': 15}",15_ptv_490879.json,
54,01/18/2000,15,22,2,4668,212,459,229,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Eitan Michael', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Chazan Naomi', 'Cohen Amnon', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Sheetrit Meir', 'El-Sana Talab', 'Vilan Avshalom', 'Cohen Eliezer', 'Katz Israel', 'Kanan Muhamad', 'Nudelman Michael', 'Shaban Yitzhak', 'Poraz Avraham', 'Steinitz Yuval']","{'Tarif Salah': 1413, 'Edelstein Yuli-Yoel': 0, 'Eitan Michael': 725, 'Barakeh Mohammad': 0, 'Galon Zehava': 27, 'Gafni Moshe': 608, 'Dehamshe Abdulmalik': 44, 'Ze`evi Rechavam': 462, 'Sandberg Eliezer': 271, 'Chazan Naomi': 432, 'Cohen Amnon': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 68, 'Rivlin Reuven': 316, 'Sheetrit Meir': 614, 'El-Sana Talab': 6, 'Vilan Avshalom': 44, 'Cohen Eliezer': 97, 'Katz Israel': 0, 'Kanan Muhamad': 0, 'Nudelman Michael': 0, 'Shaban Yitzhak': 0, 'Poraz Avraham': 0, 'Steinitz Yuval': 0}",15_ptv_490880.json,
55,01/19/2000,15,15,1,4296,286,81,81,"['Tarif Salah', 'Orlev Zevulun', 'El-Sana Talab', 'Ben-Menachem Eli', 'Galon Zehava', 'Hirchson Abraham', 'Ze`evi Rechavam', 'Yechezkel Avraham', 'Litzman Yakov', 'Levy Maxim', 'Poraz Avraham', 'Pines-Paz Ophir', 'Peretz Yair', 'Peretz Amir', 'Rivlin Reuven', 'Shtern Yuri']","{'Tarif Salah': 1952, 'Orlev Zevulun': 259, 'El-Sana Talab': 139, 'Ben-Menachem Eli': 0, 'Galon Zehava': 81, 'Hirchson Abraham': 15, 'Ze`evi Rechavam': 72, 'Yechezkel Avraham': 272, 'Litzman Yakov': 0, 'Levy Maxim': 33, 'Poraz Avraham': 445, 'Pines-Paz Ophir': 0, 'Peretz Yair': 182, 'Peretz Amir': 485, 'Rivlin Reuven': 442, 'Shtern Yuri': 0}",15_ptv_490881.json,
56,01/24/2000,15,7,1,134,19,0,0,"['Pines-Paz Ophir', 'Edelstein Yuli-Yoel', 'Eitan Michael', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Landver Sofa', 'Peretz Yair', 'Rivlin Reuven']","{'Pines-Paz Ophir': 44, 'Edelstein Yuli-Yoel': 0, 'Eitan Michael': 22, 'Ze`evi Rechavam': 5, 'Sandberg Eliezer': 0, 'Landver Sofa': 0, 'Peretz Yair': 0, 'Rivlin Reuven': 63}",15_ptv_490882.json,
58,1/31/2000,15,8,0,4382,547,0,0,"['Tarif Salah', 'Ben-Menachem Eli', 'Ze`evi Rechavam', 'Katz Israel', 'Peretz Yair', 'Peretz Amir', 'Rivlin Reuven', 'Sheetrit Meir']","{'Tarif Salah': 1689, 'Ben-Menachem Eli': 0, 'Ze`evi Rechavam': 649, 'Katz Israel': 671, 'Peretz Yair': 46, 'Peretz Amir': 525, 'Rivlin Reuven': 429, 'Sheetrit Meir': 373}",15_ptv_490883.json,
59,02/01/2000,15,13,3,4172,320,845,281,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Barakeh Mohammad', 'Ben-Menachem Eli', 'Gagula Itzhak', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Landver Sofa', 'Milo Roni', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Shtern Yuri']","{'Tarif Salah': 1868, 'Edelstein Yuli-Yoel': 0, 'Barakeh Mohammad': 0, 'Ben-Menachem Eli': 0, 'Gagula Itzhak': 0, 'Galon Zehava': 170, 'Gafni Moshe': 12, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 744, 'Chazan Naomi': 639, 'Landver Sofa': 36, 'Milo Roni': 419, 'Pines-Paz Ophir': 0, 'Peretz Yair': 110, 'Rivlin Reuven': 1019, 'Shtern Yuri': 0}",15_ptv_490884.json,
6,2/2/2000,15,10,0,2197,219,0,0,"['Tarif Salah', 'Eitan Michael', 'Ben-Menachem Eli', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Katz Israel', 'Peretz Yair', 'Rivlin Reuven', 'Shtern Yuri']","{'Tarif Salah': 603, 'Eitan Michael': 1021, 'Ben-Menachem Eli': 0, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 110, 'Ze`evi Rechavam': 99, 'Katz Israel': 41, 'Peretz Yair': 0, 'Rivlin Reuven': 130, 'Shtern Yuri': 193}",15_ptv_490885.json,
61,2/7/2000,15,10,2,2332,233,451,225,"['Tarif Salah', 'Ben-Menachem Eli', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Milo Roni', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven']","{'Tarif Salah': 1231, 'Ben-Menachem Eli': 0, 'Barakeh Mohammad': 235, 'Galon Zehava': 158, 'Gafni Moshe': 207, 'Dehamshe Abdulmalik': 79, 'Ze`evi Rechavam': 469, 'Chazan Naomi': 293, 'Milo Roni': 11, 'Pines-Paz Ophir': 0, 'Peretz Yair': 100, 'Rivlin Reuven': 0}",15_ptv_490886.json,
62,02/08/2000,15,9,1,1326,147,0,0,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Galon Zehava', 'Gafni Moshe', 'Pines-Paz Ophir', 'Rivlin Reuven', 'Halpert Shmuel', 'Vilan Avshalom', 'Yechezkel Avraham', 'Paritzky Joseph']","{'Tarif Salah': 860, 'Edelstein Yuli-Yoel': 110, 'Galon Zehava': 0, 'Gafni Moshe': 3, 'Pines-Paz Ophir': 0, 'Rivlin Reuven': 0, 'Halpert Shmuel': 193, 'Vilan Avshalom': 0, 'Yechezkel Avraham': 152, 'Paritzky Joseph': 8}",15_ptv_490887.json,
63,02/09/2000,15,20,3,5451,272,256,85,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Levy Maxim', 'Nahari Meshulam', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Shtern Yuri', 'Azoulay David', 'Gamliel Arieh', 'El-Sana Talab', 'Brailovsky Victor', 'Katz Yossi', 'Livni Tzipi', 'Melloul Rahamim', 'Nudelman Michael', 'Paritzky Joseph']","{'Tarif Salah': 2383, 'Edelstein Yuli-Yoel': 53, 'Barakeh Mohammad': 147, 'Galon Zehava': 230, 'Gafni Moshe': 957, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 660, 'Chazan Naomi': 22, 'Levy Maxim': 64, 'Nahari Meshulam': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 27, 'Rivlin Reuven': 24, 'Shtern Yuri': 346, 'Azoulay David': 207, 'Gamliel Arieh': 0, 'El-Sana Talab': 138, 'Brailovsky Victor': 3, 'Katz Yossi': 0, 'Livni Tzipi': 4, 'Melloul Rahamim': 29, 'Nudelman Michael': 26, 'Paritzky Joseph': 387}",15_ptv_490888.json,
64,2/14/2000,15,9,1,3118,346,0,0,"['Tarif Salah', 'Orlev Zevulun', 'Edelstein Yuli-Yoel', 'Gagula Itzhak', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Landver Sofa', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven']","{'Tarif Salah': 1054, 'Orlev Zevulun': 414, 'Edelstein Yuli-Yoel': 0, 'Gagula Itzhak': 0, 'Dehamshe Abdulmalik': 96, 'Ze`evi Rechavam': 759, 'Landver Sofa': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 0, 'Rivlin Reuven': 795}",15_ptv_490889.json,
65,02/15/2000,15,16,0,1238,77,0,0,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Ben-Menachem Eli', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Cohen Eliezer', 'Levy Maxim', 'Liberman Avigdor', 'Mahameed Hashem', 'Milo Roni', 'Nudelman Michael', 'Pines-Paz Ophir', 'Rivlin Reuven', 'Riger Gennady', 'Steinitz Yuval']","{'Tarif Salah': 474, 'Edelstein Yuli-Yoel': 0, 'Ben-Menachem Eli': 0, 'Gafni Moshe': 48, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 23, 'Cohen Eliezer': 105, 'Levy Maxim': 0, 'Liberman Avigdor': 1, 'Mahameed Hashem': 47, 'Milo Roni': 0, 'Nudelman Michael': 109, 'Pines-Paz Ophir': 0, 'Rivlin Reuven': 255, 'Riger Gennady': 0, 'Steinitz Yuval': 176}",15_ptv_490890.json,
66,02/16/2000,15,8,0,1488,186,0,0,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Sandberg Eliezer', 'Katz Israel', 'Peretz Amir', 'Rivlin Reuven']","{'Tarif Salah': 1101, 'Edelstein Yuli-Yoel': 0, 'Gafni Moshe': 158, 'Dehamshe Abdulmalik': 0, 'Sandberg Eliezer': 38, 'Katz Israel': 0, 'Peretz Amir': 56, 'Rivlin Reuven': 135}",15_ptv_490891.json,
67,2/21/2000,15,9,2,3029,336,158,79,"['Tarif Salah', 'Orlev Zevulun', 'Barakeh Mohammad', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Chazan Naomi', 'Milo Roni', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven']","{'Tarif Salah': 1390, 'Orlev Zevulun': 709, 'Barakeh Mohammad': 34, 'Galon Zehava': 75, 'Dehamshe Abdulmalik': 191, 'Ze`evi Rechavam': 463, 'Chazan Naomi': 83, 'Milo Roni': 131, 'Pines-Paz Ophir': 0, 'Peretz Yair': 0, 'Rivlin Reuven': 111}",15_ptv_490892.json,
